"ensgenes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol","entrezid"
"ENSMUSG00000007122",10.8691152792025,-0.398838086052839,0.865864659617348,-0.460624049755187,0.645068354019248,NA,"Casq1","12372"
"ENSMUSG00000007207",12.5808769196469,0.439260228881846,0.805360552663643,0.545420591347615,0.585464281543181,NA,"Stx1a","20907"
"ENSMUSG00000007216",29.9358444070293,-1.3678158422415,0.646829122323814,-2.11464789545568,0.0344599682997554,0.167616398130204,"Zfp775","243372"
"ENSMUSG00000007279",2.00901182871408,-1.54483871889398,2.37847081186723,-0.64950921877456,0.516009289710833,NA,"Scube2","56788"
"ENSMUSG00000007338",474.502659134931,0.334821250477001,0.243589740673703,1.37452936051813,0.169277401703315,0.439352514800864,"Mrpl49","18120"
"ENSMUSG00000007379",8.26295625855092,-0.423812228320027,1.087114452464,-0.389850606216701,0.696647020180916,NA,"Dennd2c","329727"
"ENSMUSG00000007411",166.974320626326,-0.207951841585085,0.293962609373834,-0.707409156654448,0.479312248239722,0.746300370666419,"Mark3","17169"
"ENSMUSG00000007415",129.266245318188,0.27705995458357,0.315545805818908,0.87803402699187,0.379925253187277,0.672023162198622,"Gatad1","67210"
"ENSMUSG00000007440",16.1427364909553,-1.70898524512277,0.909283176664611,-1.87948626894383,0.0601781266732878,NA,"Pcdha10","12943"
"ENSMUSG00000007458",473.115735995226,0.45759219861953,0.224389940216403,2.03927234072181,0.0414228545359964,0.188395784211219,"M6pr","17113"
"ENSMUSG00000007476",228.391926682287,-0.440325306250385,0.261367684961672,-1.68469681443196,0.0920470814395983,0.310762931370217,"Lrrc8a","241296"
"ENSMUSG00000007480",128.58765230418,-3.16012716682757,0.493867625743502,-6.39873318699542,1.56671335830694e-10,1.95003589330604e-08,"Mc5r","17203"
"ENSMUSG00000007564",1622.42423847246,0.114606153742586,0.19665065043888,0.582790616185662,0.560034262763018,0.800183375017822,"Ppp2r1a","51792"
"ENSMUSG00000007570",45.9604090330907,0.92693877525429,0.496057657909656,1.86861095776715,0.0616769601368701,0.242508005424085,"Fance","72775"
"ENSMUSG00000007589",419.437970283202,0.253099683414286,0.287522662790289,0.880277335212668,0.378709087652852,0.671356100630993,"Tinf2","28113"
"ENSMUSG00000007594",8.21164435104478,1.50906498299688,1.01161622062698,1.49173664105701,0.1357681994901,NA,"Hapln4","330790"
"ENSMUSG00000007603",80.4510897078655,0.129564621346708,0.370365205525251,0.349829356035106,0.726466766473755,0.891309126856806,"Dus3l","224907"
"ENSMUSG00000007610",148.43407779839,0.811081004381051,0.313234948855001,2.58936944088096,0.00961518762087249,0.0687360125903087,"Gtpbp3","70359"
"ENSMUSG00000007613",71.1759276894347,-0.0398107088924173,0.396113487095637,-0.100503290570375,0.919944770569442,0.96849807332119,"Tgfbr1","21812"
"ENSMUSG00000007617",59.5561598557736,-0.188953891368779,0.4483759468533,-0.421418438466327,0.673449557388818,0.864034416361155,"Homer1","26556"
"ENSMUSG00000007646",69.0334744718941,0.0559309241946311,0.455528342203525,0.122782534065996,0.902279305395074,0.962878229878596,"Rad51c","114714"
"ENSMUSG00000007653",2.02725488478417,1.46143967034421,2.03752948102501,0.717260625651908,0.47321329755342,NA,"Gabrb2","14401"
"ENSMUSG00000007655",12.7766669087375,-1.43326011179442,0.825983226979809,-1.73521696927806,0.0827023819238973,NA,"Cav1","12389"
"ENSMUSG00000007656",2240.74148106589,0.297481030844964,0.256912049387182,1.15790999898429,0.246900766629167,0.542629465917192,"Arpp19","59046"
"ENSMUSG00000007659",427.290471436593,0.569492418187281,0.2750990534972,2.07013586905372,0.0384396227498453,0.179128960504272,"Bcl2l1","12048"
"ENSMUSG00000007670",723.010232306407,-0.228595734684611,0.23238244414045,-0.983704838505142,0.325260660116549,0.6246476795175,"Khsrp","16549"
"ENSMUSG00000007721",796.656643503956,0.221080072906749,0.231942022602649,0.95316954826031,0.340504172666872,0.638915869717639,"Ccdc124","234388"
"ENSMUSG00000007739",3003.90978299046,0.209232810230961,0.211630769562004,0.988669136647727,0.32282504787594,0.622531620985761,"Cct4","12464"
"ENSMUSG00000007777",585.413171071183,-0.0799695244094298,0.222059233122963,-0.360126995328078,0.718752165935167,0.886473625149174,"0610009B22Rik","66050"
