ensembl_gene_id	entrezgene
ENSMUSG00000028344	16348
ENSMUSG00000104641	NA
ENSMUSG00000105737	NA
ENSMUSG00000037822	68552
ENSMUSG00000015461	12915
ENSMUSG00000100996	NA
ENSMUSG00000099659	NA
ENSMUSG00000006457	11474
ENSMUSG00000072847	NA
ENSMUSG00000024785	59028
ENSMUSG00000113165	NA
ENSMUSG00000084824	NA
ENSMUSG00000021374	218210
ENSMUSG00000024910	13041
ENSMUSG00000021566	71390
ENSMUSG00000075318	110876
ENSMUSG00000098196	NA
ENSMUSG00000034810	20272
ENSMUSG00000028969	12568
ENSMUSG00000026065	110895
ENSMUSG00000091985	NA
ENSMUSG00000102912	NA
ENSMUSG00000027770	72162
ENSMUSG00000087604	74884
ENSMUSG00000028582	319965
ENSMUSG00000005686	11717
ENSMUSG00000042200	66338
ENSMUSG00000030492	30962
ENSMUSG00000100130	NA
ENSMUSG00000110879	258255
ENSMUSG00000114541	NA
ENSMUSG00000051246	403174
ENSMUSG00000102213	NA
ENSMUSG00000075210	258561
ENSMUSG00000103629	NA
ENSMUSG00000115931	NA
ENSMUSG00000032301	26441
ENSMUSG00000102756	NA
ENSMUSG00000091304	73266
ENSMUSG00000099418	626215
ENSMUSG00000073412	16988
ENSMUSG00000114070	NA
ENSMUSG00000098193	NA
ENSMUSG00000093607	NA
ENSMUSG00000069662	17118
ENSMUSG00000096717	224552
ENSMUSG00000064105	94219
ENSMUSG00000107413	NA
ENSMUSG00000115557	NA
ENSMUSG00000036333	77480
ENSMUSG00000029104	15194
ENSMUSG00000005583	17260
ENSMUSG00000055302	67568
ENSMUSG00000041009	67320
ENSMUSG00000072477	NA
ENSMUSG00000102676	NA
ENSMUSG00000059379	258562
ENSMUSG00000107026	NA
ENSMUSG00000104441	NA
ENSMUSG00000094271	545646
ENSMUSG00000036167	223828
ENSMUSG00000110054	NA
ENSMUSG00000047347	545124
ENSMUSG00000047749	209032
ENSMUSG00000092285	NA
ENSMUSG00000102793	NA
ENSMUSG00000096582	545647
ENSMUSG00000025899	67667
ENSMUSG00000114204	NA
ENSMUSG00000053287	258757
ENSMUSG00000108559	NA
ENSMUSG00000116490	NA
ENSMUSG00000096591	545648
ENSMUSG00000107195	NA
ENSMUSG00000082263	NA
ENSMUSG00000116104	NA
ENSMUSG00000111120	NA
ENSMUSG00000041126	77605
ENSMUSG00000105601	NA
ENSMUSG00000114257	NA
ENSMUSG00000094277	NA
ENSMUSG00000116744	NA
ENSMUSG00000085024	NA
ENSMUSG00000029201	22235
ENSMUSG00000105687	NA
ENSMUSG00000114476	NA
ENSMUSG00000022241	110960
ENSMUSG00000105101	NA
ENSMUSG00000101468	NA
ENSMUSG00000113809	NA
ENSMUSG00000096854	319146
ENSMUSG00000114737	NA
ENSMUSG00000105153	NA
ENSMUSG00000099675	NA
ENSMUSG00000096293	NA
ENSMUSG00000114676	NA
ENSMUSG00000045410	56043
ENSMUSG00000086380	NA
ENSMUSG00000101770	NA
ENSMUSG00000046463	NA
ENSMUSG00000113347	NA
ENSMUSG00000024399	16994
ENSMUSG00000114609	NA
ENSMUSG00000112637	NA
ENSMUSG00000080798	NA
ENSMUSG00000009013	56455
ENSMUSG00000111932	NA
ENSMUSG00000050144	229517
ENSMUSG00000112391	NA
ENSMUSG00000096844	NA
ENSMUSG00000047454	268566
ENSMUSG00000059898	13507
ENSMUSG00000081788	NA
ENSMUSG00000080916	NA
ENSMUSG00000093751	NA
ENSMUSG00000099545	545649
ENSMUSG00000086391	73321
ENSMUSG00000033510	170711
ENSMUSG00000029826	78781
ENSMUSG00000091129	100041096
ENSMUSG00000073702	114641
ENSMUSG00000073608	619597
ENSMUSG00000024290	19877
ENSMUSG00000020182	13195
ENSMUSG00000080872	NA
ENSMUSG00000115784	NA
ENSMUSG00000081953	NA
ENSMUSG00000045883	258299
ENSMUSG00000083372	NA
ENSMUSG00000028345	269536
ENSMUSG00000116219	NA
ENSMUSG00000103069	NA
ENSMUSG00000059343	353204
ENSMUSG00000021692	66254
ENSMUSG00000101227	NA
ENSMUSG00000073730	66755
ENSMUSG00000102862	NA
ENSMUSG00000084164	NA
ENSMUSG00000102083	NA
ENSMUSG00000115351	NA
ENSMUSG00000114265	NA
ENSMUSG00000100234	545650
ENSMUSG00000039395	381269
ENSMUSG00000049734	22040
ENSMUSG00000033850	258564
ENSMUSG00000109811	NA
ENSMUSG00000110799	NA
ENSMUSG00000114589	NA
ENSMUSG00000082951	NA
ENSMUSG00000024241	20662
ENSMUSG00000118377	NA
ENSMUSG00000114102	NA
ENSMUSG00000112971	NA
ENSMUSG00000073928	258809
ENSMUSG00000025646	235610
ENSMUSG00000106576	NA
