"ensembl_gene_id"	"Ctrl1"	"Ctrl2"	"Ctrl3"	"Scr1"	"Scr2"	"Scr3"
"ENSMUSG00000001056"	1892	3597	1596	2698	1019	2353
"ENSMUSG00000001062"	41	33	34	33	39	37
"ENSMUSG00000001065"	27	41	21	20	33	18
"ENSMUSG00000001076"	3	0	0	0	5	0
"ENSMUSG00000001082"	76	195	27	88	41	75
"ENSMUSG00000001089"	162	291	148	289	202	198
"ENSMUSG00000001098"	314	278	241	283	235	243
"ENSMUSG00000001100"	370	410	279	383	339	388
"ENSMUSG00000001105"	605	953	549	710	543	563
"ENSMUSG00000001119"	21	8	1	1	32	3
"ENSMUSG00000001120"	84	137	75	118	69	100
"ENSMUSG00000001123"	4	9	10	6	4	4
"ENSMUSG00000001127"	334	284	244	300	331	270
"ENSMUSG00000001128"	20	12	13	8	30	7
"ENSMUSG00000001131"	52	115	10	2	4	2
"ENSMUSG00000001134"	290	378	328	323	286	254
"ENSMUSG00000001138"	56	39	35	38	59	29
"ENSMUSG00000001143"	192	150	115	93	163	90
"ENSMUSG00000001150"	108	132	128	131	164	98
"ENSMUSG00000001151"	73	139	84	99	74	72
"ENSMUSG00000001155"	2	5	9	5	3	6
"ENSMUSG00000001156"	221	43	177	67	247	65
"ENSMUSG00000001157"	195	420	203	179	171	307
"ENSMUSG00000001158"	1817	2359	1729	1711	1527	1598
"ENSMUSG00000001166"	0	1	0	0	0	1
"ENSMUSG00000001173"	54	29	45	23	71	30
"ENSMUSG00000001175"	16269	18816	16931	17934	12945	15391
"ENSMUSG00000001211"	240	173	142	162	320	120
"ENSMUSG00000001225"	7	7	8	5	12	4
"ENSMUSG00000001227"	1	1	1	1	4	0
"ENSMUSG00000001228"	248	416	151	371	102	317
"ENSMUSG00000001229"	62	103	66	99	62	77
"ENSMUSG00000001240"	65	128	47	109	73	82
"ENSMUSG00000001247"	5	0	3	1	6	3
"ENSMUSG00000001248"	72	75	69	61	33	54
"ENSMUSG00000001249"	1	3	0	2	0	0
"ENSMUSG00000001260"	199	90	133	212	224	203
"ENSMUSG00000001270"	126750	93021	110284	100541	75471	84080
"ENSMUSG00000001280"	333	321	190	280	202	238
"ENSMUSG00000001281"	5	1	5	2	0	1
"ENSMUSG00000001285"	294	534	285	395	250	384
"ENSMUSG00000001288"	23	27	17	17	8	11
"ENSMUSG00000001289"	3253	2880	2743	2335	3003	2083
"ENSMUSG00000001300"	16	19	7	14	8	16
"ENSMUSG00000001305"	163	461	137	336	112	282
"ENSMUSG00000001313"	389	219	230	131	265	91
"ENSMUSG00000001323"	321	174	259	254	398	226
"ENSMUSG00000001333"	0	0	0	0	0	2
"ENSMUSG00000001334"	87	7	17	8	301	10
"ENSMUSG00000001349"	2	0	0	1	0	0
"ENSMUSG00000001366"	78	99	80	112	118	84
"ENSMUSG00000001376"	115	139	140	94	180	92
"ENSMUSG00000001380"	327	531	328	490	267	429
"ENSMUSG00000001383"	1260	1469	1444	1067	1303	939
"ENSMUSG00000001403"	2340	3813	2874	3163	1511	2664
"ENSMUSG00000001415"	225	369	198	307	280	315
"ENSMUSG00000001416"	1400	2341	1107	2047	1113	1955
"ENSMUSG00000001418"	747	873	612	712	751	582
"ENSMUSG00000001419"	102	141	103	135	105	106
"ENSMUSG00000001420"	30	35	26	31	32	14
"ENSMUSG00000001424"	485	649	396	563	363	551
"ENSMUSG00000001435"	36	45	7	81	98	42
"ENSMUSG00000001436"	74	80	31	89	33	93
"ENSMUSG00000001440"	1108	1292	673	1145	669	1253
"ENSMUSG00000001441"	801	656	528	658	648	583
"ENSMUSG00000001445"	445	523	380	475	433	438
"ENSMUSG00000001467"	987	1337	723	1121	592	1074
"ENSMUSG00000001472"	939	881	591	778	781	498
"ENSMUSG00000001473"	582	1564	468	1048	213	950
"ENSMUSG00000001482"	81	66	62	84	125	66
"ENSMUSG00000001493"	1	41	1	7	3	7
"ENSMUSG00000001494"	0	1	1	0	1	0
"ENSMUSG00000001497"	60	100	49	50	43	54
"ENSMUSG00000001504"	21	27	26	13	18	12
"ENSMUSG00000001506"	8	6	14	2	39	4
"ENSMUSG00000001507"	1	1	1	1	3	1
"ENSMUSG00000001508"	3	4	3	5	5	6
"ENSMUSG00000001510"	2	0	0	0	0	0
"ENSMUSG00000001517"	74	121	53	120	53	105
"ENSMUSG00000001518"	260	441	401	272	371	306
"ENSMUSG00000001520"	37	68	41	30	47	40
"ENSMUSG00000001521"	212	533	249	224	215	325
"ENSMUSG00000001524"	147	174	118	162	117	111
"ENSMUSG00000001525"	9372	14206	7904	11060	5023	10037
"ENSMUSG00000001542"	72	83	66	39	62	48
"ENSMUSG00000001552"	94	130	92	68	69	33
"ENSMUSG00000001555"	109	403	50	123	65	111
"ENSMUSG00000001558"	5	3	1	2	4	2
"ENSMUSG00000001569"	238	557	297	394	403	373
"ENSMUSG00000001576"	359	662	232	567	194	490
"ENSMUSG00000001583"	4	2	0	0	1	2
"ENSMUSG00000001588"	3	4	6	1	7	2
"ENSMUSG00000001604"	14	31	8	18	8	16
"ENSMUSG00000001622"	2	2	0	0	1	0
"ENSMUSG00000001627"	147	484	105	387	156	378
"ENSMUSG00000001630"	226	269	167	231	264	234
"ENSMUSG00000001632"	68	90	61	67	71	70
"ENSMUSG00000001642"	691	1002	588	909	382	812
"ENSMUSG00000001657"	1	2	0	467	968	536
"ENSMUSG00000001661"	0	0	0	76	265	78
"ENSMUSG00000001663"	72	5	5	17	63	15
"ENSMUSG00000001665"	126	58	17	70	106	34
"ENSMUSG00000001666"	1521	707	880	631	1161	505
"ENSMUSG00000001672"	1	0	0	0	0	0
"ENSMUSG00000001674"	412	1027	369	712	354	819
"ENSMUSG00000001687"	185	191	145	217	232	150
"ENSMUSG00000001700"	151	91	112	106	125	76
"ENSMUSG00000001707"	509	1043	330	976	303	1024
"ENSMUSG00000001729"	131	175	92	141	200	132
"ENSMUSG00000001739"	0	2	2	0	0	2
"ENSMUSG00000001741"	0	1	2	2	3	1
"ENSMUSG00000001750"	16	35	8	22	10	17
"ENSMUSG00000001751"	48	41	35	40	34	35
"ENSMUSG00000001755"	278	174	211	193	199	189
"ENSMUSG00000001761"	420	438	241	409	353	357
"ENSMUSG00000001763"	29	62	62	32	41	61
"ENSMUSG00000001767"	277	239	230	243	254	203
"ENSMUSG00000001768"	207	75	201	55	183	43
"ENSMUSG00000001773"	10	13	0	5	18	6
"ENSMUSG00000001774"	401	613	449	516	435	593
"ENSMUSG00000001783"	906	1133	732	1288	748	1039
"ENSMUSG00000001785"	261	442	216	400	253	384
"ENSMUSG00000001786"	111	61	81	69	102	48
"ENSMUSG00000001794"	604	727	364	500	518	417
"ENSMUSG00000001802"	30	34	35	38	54	34
"ENSMUSG00000001827"	0	5	0	0	0	0
"ENSMUSG00000001829"	236	256	219	257	200	253
"ENSMUSG00000001833"	2029	3185	1807	2701	1494	2207
"ENSMUSG00000001844"	535	490	428	541	517	424
"ENSMUSG00000001847"	526	452	378	455	565	375
"ENSMUSG00000001855"	134	225	146	204	126	199
"ENSMUSG00000001864"	730	390	445	364	507	300
"ENSMUSG00000001870"	44	37	30	49	47	35
"ENSMUSG00000001891"	835	479	631	549	527	454
"ENSMUSG00000001901"	0	3	0	1	0	1
"ENSMUSG00000001909"	302	387	275	303	312	325
"ENSMUSG00000001910"	216	217	166	239	238	215
"ENSMUSG00000001911"	1718	939	1235	995	1988	867
"ENSMUSG00000001918"	26	35	17	27	42	24
"ENSMUSG00000001924"	1402	1309	1001	1334	1340	1099
"ENSMUSG00000001930"	1	3	5	0	10	1
"ENSMUSG00000001942"	194	95	127	98	189	103
"ENSMUSG00000001943"	0	1	0	0	0	2
"ENSMUSG00000001946"	3	2	1	2	2	3
"ENSMUSG00000001948"	126	91	163	83	115	79
"ENSMUSG00000001962"	318	433	299	381	272	333
"ENSMUSG00000001964"	324	431	338	422	259	382
"ENSMUSG00000001983"	97	99	76	91	86	108
"ENSMUSG00000001985"	10	3	1	3	12	0
"ENSMUSG00000001986"	42	25	93	112	106	102
"ENSMUSG00000001995"	26	107	43	89	64	122
"ENSMUSG00000001998"	35	48	62	51	43	32
"ENSMUSG00000001999"	196	265	189	269	144	206
"ENSMUSG00000002006"	6	9	9	9	15	4
"ENSMUSG00000002007"	5	3	7	5	2	2
"ENSMUSG00000002010"	1005	1157	905	1006	994	898
"ENSMUSG00000002012"	6	9	6	8	9	3
"ENSMUSG00000002014"	1604	2113	1457	1529	1111	1243
"ENSMUSG00000002015"	1116	1598	905	1167	861	1047
"ENSMUSG00000002017"	143	212	119	179	120	158
"ENSMUSG00000002020"	0	1	1	0	0	2
"ENSMUSG00000002028"	197	187	174	191	279	187
