"","logFC","logCPM","PValue","FDR"
"mmu-mir-369-5p",-3.44904461279826,0.785706739780229,0.0570438426309631,0.871720779282919
"mmu-mir-7005-3p",-3.43732324724803,-1.59123158159214,0.729104180751774,1
"mmu-mir-669f-3p",-3.43257909331454,5.02155387054508,0.254704189514315,1
"mmu-mir-669d-2-3p",-3.40848784140203,0.641853971792601,0.397905024690951,1
"mmu-mir-151-5p",3.3822266212621,8.20103387366148,2.40543904483144e-05,0.0117385425387774
"mmu-mir-214-3p",-3.37928750464055,4.61961930358301,0.187661560454241,1
"mmu-mir-6925-3p",-3.37017032342965,-1.64176787035439,0.909245876231869,1
"mmu-mir-7019-3p",-3.37017032342965,-1.64176787035439,0.909245876231869,1
"mmu-mir-705",-3.37017032342965,-1.64176787035439,0.909245876231869,1
"mmu-mir-211-5p",3.36413465101753,-0.798657339119104,0.010324541118194,0.473035907726449
"mmu-mir-412-3p",-3.33794994608372,-1.64557444109888,0.909245876231869,1
"mmu-mir-494-5p",-3.33794994608372,-1.64557444109888,0.909245876231869,1
"mmu-mir-3105-3p",-3.33794994608372,-1.64557444109888,0.909245876231869,1
"mmu-mir-3085-5p",-3.33794994608372,-1.64557444109888,0.909245876231869,1
"mmu-mir-1931",-3.33794994608372,-1.64557444109888,0.909245876231869,1
"mmu-mir-5108",-3.33794994608372,-1.64557444109888,0.909245876231869,1
"mmu-mir-465b-3p",-3.33794994608372,-1.64557444109888,0.909245876231869,1
"mmu-mir-195b",-3.33794994608372,-1.64557444109888,0.909245876231869,1
"mmu-mir-743a-5p",-3.33794994608372,-1.64557444109888,0.909245876231869,1
"mmu-mir-6406",-3.33794994608372,-1.64557444109888,0.909245876231869,1
"mmu-mir-1193-3p",-3.32498336791603,0.680410623732463,0.0166586890778183,0.641797916050683
"mmu-mir-409-3p",-3.31328918395203,4.25508170909064,0.00427658988574946,0.385338146338506
"mmu-mir-7079-5p",-3.27330126921053,-1.69585868208303,1,1
"mmu-mir-6337",-3.27330126921053,-1.69585868208303,1,1
"mmu-mir-7081-3p",-3.27330126921053,-1.69585868208303,1,1
"mmu-mir-6355",-3.27330126921053,-1.69585868208303,1,1
"mmu-mir-7016-3p",-3.27330126921053,-1.69585868208303,1,1
"mmu-mir-6913-5p",-3.27330126921053,-1.69585868208303,1,1
"mmu-mir-127-5p",-3.26243115532014,1.11138000064435,0.0474409845836122,0.871720779282919
"mmu-mir-466f-3p",-3.25424959404173,7.11506959715273,0.242327806017921,1
"mmu-mir-3089-5p",3.24406937460589,-1.32745055800748,0.0676124545240275,0.89175345426285
"mmu-mir-127-3p",-3.22336184419896,6.89261249603133,0.0100872524508051,0.473035907726449
"mmu-mir-219c-3p",3.21380160365568,-0.958370437242189,0.0106107817778237,0.473035907726449
"mmu-mir-205-5p",-3.20458931571065,1.04415833550226,0.13660081310002,1
"mmu-mir-7672-5p",3.20088607411671,-0.724703335318285,0.0479633083540234,0.871720779282919
"mmu-mir-200a-3p",-3.19763311139084,1.91365972414307,0.328204670284885,1
"mmu-mir-410-5p",-3.17863602800897,-1.75027946703666,1,1
"mmu-mir-154-3p",-3.17863602800897,-1.75027946703666,1,1
"mmu-mir-6403",-3.17863602800897,-1.75027946703666,1,1
"mmu-mir-3101-5p",-3.17863602800897,-1.75027946703666,1,1
"mmu-mir-6971-3p",-3.17863602800897,-1.75027946703666,1,1
"mmu-mir-7091-3p",-3.17863602800897,-1.75027946703666,1,1
"mmu-mir-7020-5p",-3.17863602800897,-1.75027946703666,1,1
"mmu-mir-467d-5p",-3.15904292075879,5.27639380704795,0.277058921939224,1
"mmu-mir-669m-3p",-3.15716259630204,0.932458762435539,0.444082849811589,1
"mmu-mir-6538",3.14005937126985,3.42843100704161,8.42598048443616e-05,0.0246712708584291
"mmu-mir-758-3p",-3.10671092281478,-0.207189879904088,0.52607893271381,1
"mmu-mir-466i-3p",-3.09945529945622,4.73061824162518,0.316816378097792,1
"mmu-mir-6951-3p",-3.06588905238011,-1.64756768323744,0.909245876231869,1
"mmu-mir-6995-3p",-3.06588905238011,-1.64756768323744,0.909245876231869,1
"mmu-mir-669g",-3.06588905238011,-1.64756768323744,0.909245876231869,1
"mmu-mir-6912-3p",-3.06588905238011,-1.64756768323744,0.909245876231869,1
"mmu-mir-669k-5p",-3.06588905238011,-1.64756768323744,0.909245876231869,1
"mmu-mir-6966-5p",3.06430130662318,-1.02541698677592,0.0192922920957985,0.659397766443601
"mmu-mir-136-5p",-3.04701002029445,0.428715974639785,0.0457449061776652,0.871720779282919
"mmu-mir-6929-3p",-3.04617807781348,-0.269620934277552,0.0465379086137355,0.871720779282919
"mmu-mir-34a-3p",-3.0274041353616,1.55633466183464,0.0206046051489251,0.664194063217981
"mmu-mir-450a-1-3p",-3.00424239784702,3.80285107868479,0.0752098353113443,0.926032947642478
"mmu-mir-1249-5p",-2.9978243547211,0.406250514413407,0.0272516222889105,0.752761793037076
"mmu-mir-7052-3p",-2.99145222660447,-1.70047418419957,0.909245876231869,1
"mmu-mir-466a-5p",-2.99145222660447,-1.70047418419957,0.909245876231869,1
"mmu-mir-6920-3p",-2.99145222660447,-1.70047418419957,0.909245876231869,1
"mmu-mir-6921-5p",-2.99145222660447,-1.70047418419957,0.909245876231869,1
"mmu-mir-7059-3p",2.98863528463922,-1.41740872932075,0.0674166567413937,0.89175345426285
"mmu-mir-494-3p",-2.97118479712369,2.43990958000054,0.0326067631924078,0.835041186791226
"mmu-mir-341-3p",-2.96063376998059,1.5016659130092,0.0629637707983009,0.871720779282919
"mmu-mir-466l-3p",-2.95625542258701,-0.540115018613845,0.898933912706124,1
"mmu-mir-7045-3p",-2.92008400382465,-1.7525091710773,1,1
"mmu-mir-1963",-2.92008400382465,-1.7525091710773,1,1
"mmu-mir-5103",-2.92008400382465,-1.7525091710773,1,1
